country_e;gmi1990;gmi1991;gmi1992;gmi1993;gmi1994;gmi1995;gmi1996;gmi1997;gmi1998;gmi1999;gmi2000;gmi2001;gmi2002;gmi2003;gmi2004;gmi2005;gmi2006;gmi2007;gmi2008;gmi2009;gmi2010;gmi2011;gmi2012;iso3_code
Afghanistan;;;;;;;;;;;;;;487,88;357,09;297,42;317,54;316,85;308,1;409,92;477,57;511,79;490,58;AFG
Albania;756,25;792,18;799,88;753,72;717,03;710,64;686,55;680,67;660,75;502,54;571,96;541,45;533,15;512,58;501,19;498,44;469,09;473,33;409,01;412,32;400,66;393,73;396,59;ALB
Algeria;506,22;528,04;569,61;571,64;599,99;595,35;603,45;633,01;635,41;648,41;652,52;659,08;658,4;644,2;638,05;634,31;629,19;625,45;620,34;635,54;629,66;640,26;637,22;DZA
Angola;;604,77;609,79;816,97;845,59;700,56;672,95;677,17;607,77;792,56;731,58;697,21;677,17;686,72;643,04;642,04;621,91;589,46;588,7;581,86;583,59;563,03;555,37;AGO
Argentina;460,02;443,03;429,79;425,83;431,37;430,76;421,17;414,07;412,12;412,85;330,2;333,35;395,59;380,52;369,91;363,85;358,97;355,09;351,29;362,37;359,78;355,11;360,82;ARG
Armenia;;;947,89;752,99;770,99;756,05;732,25;749,79;735,59;743,21;733,44;720,21;720,67;711,8;704,08;716,81;714,76;702,98;695,81;722,45;725,62;716,06;724,12;ARM
Australia;516,5;522,84;527,95;536,33;528,89;525,59;520,99;515,66;526,4;519,52;511,86;520,15;513,85;502,46;488,48;485,66;497,59;491,06;492,43;499,29;481,3;461,27;463,77;AUS
Austria;541,82;540,56;528,84;524,1;521,01;512,66;511,47;521,55;523,05;525,92;524,83;519,92;511,55;500,22;494,91;496,83;495,19;491,58;497,41;485,9;480,35;471,34;444,99;AUT
Azerbaijan;;;800,49;801,12;724,81;712,43;683,01;675,29;667,59;680,42;683,96;694,41;678,83;673,98;671,52;658,88;683,93;663,92;668,38;653,36;639,83;672,68;673,32;AZE
Bahrain;547,7;660,95;674,82;711,67;708,54;709,76;714,03;690,29;691,49;693,29;686,28;677,07;686,56;685,84;681,56;655,7;649,38;627,68;619,61;635,14;625,5;626,82;645,23;BHR
Bangladesh;321,39;322,6;334,62;343,3;352,72;348,01;345,89;353,61;353,4;365,73;370,1;368,04;362,87;356,11;352,41;349,61;349,46;352,47;351,93;354,05;358,15;360,63;355,4;BGD
Belarus;;;707,9;748,87;730,37;687,21;570,59;604,06;596,41;642,09;662,43;665,88;656,57;643,42;643,46;643,43;652,06;645,76;631,73;638,01;623,03;625,98;621,01;BLR
Belgium;625,03;613,75;593,06;593,47;557,54;548,3;520,51;541,36;533,26;532,66;537,59;525,5;517,38;469,27;460,02;444,07;402,94;400,22;401,04;394,9;397,16;378,44;379,07;BEL
Belize;416,88;412,34;429,35;443,48;458,61;456,06;455,01;464,21;460,31;320,7;312,9;309,45;307,33;306,58;308,8;310,8;312,43;258,77;325,54;316,99;305,28;304,76;300,89;BLZ
Benin;386,64;395,57;385,67;393,86;;;;;;361,1;359,69;345,95;378,99;348,43;346,47;342,33;338,1;332,14;318,13;329,86;329,67;320,79;338,99;BEN
Bolivia;513;507,05;505,64;499,61;512,45;509,98;503,56;500,83;508,58;483,08;484,96;491,55;488,09;499,42;493,45;482,57;492,88;492,31;488,75;479,83;469,34;457,85;453,08;BOL
Bosnia and Herzegovina;;;;;;;;;;;;;;;;610,94;456,25;458,52;446,94;466,37;462,03;447,37;461,56;BIH
Botswana;543,05;551,95;459,91;551,81;545,59;548,62;540,48;548,17;578,7;562,11;569,51;581,48;585,9;559,88;527,61;525,96;538,71;537,91;549,2;553,87;531,93;519,22;516,87;BWA
Brazil;573,9;502,2;491,55;506,18;512,97;498,31;485,39;483,25;490,86;516,06;517,83;539,62;547,01;529,36;520,56;502,12;480,29;477,4;468,02;474,37;461,19;449,45;454,89;BRA
Brunei;601,36;692,84;683,15;739,15;742,42;715,71;710,59;736,3;741,31;724,93;707,74;705,63;709,69;704,58;676,65;681,14;680,4;670,48;661,09;669,56;667,65;648,39;645,37;BRN
Bulgaria;801,04;923,61;819,69;829,79;779,91;742,66;751,76;743,28;737,21;736,98;742,37;741,96;730,83;708,11;697,12;691,81;685,17;673,85;637,1;621,98;611,19;606,57;555,72;BGR
Burkina Faso;395,85;384,45;287,98;286,35;304,37;382,76;374,09;375,76;376,03;376,24;387,88;382,06;377,7;326,89;323,21;315,08;314,73;320,43;304,47;298,46;305,2;307,22;317,6;BFA
Burundi;468,33;466,72;476,03;493,82;499,97;470,48;492,57;493,53;534,63;570,14;567,11;585,43;588,99;616,58;579,71;562,43;528,97;529,37;497,13;494,12;483,13;474,37;469,95;BDI
Cambodia;482,01;414,65;546;524,85;567,26;586,11;565,39;569,48;556,69;556,85;568;555,91;543,21;535,81;526,21;520,82;532,34;521,66;503,93;545,39;520,23;512,41;513,18;KHM
Cameroon;348;345,54;350,79;353,06;381,26;387,24;368,2;384,57;396,08;397,68;404,32;400,81;401,42;393,51;376,36;373,99;375,79;370,71;365,34;370,63;382,01;367,22;369,93;CMR
Canada;478,5;479,84;483,87;489,29;490,07;483,56;474,47;467,94;470,61;468,86;462,84;457,36;451,02;442,85;432,88;433,89;434,82;441,33;440,23;432,91;422,55;416,03;411,39;CAN
Cape Verde;;443,24;394,13;390,33;399,01;202,33;260,37;264,17;264,5;267,98;312,43;282,24;268,98;256,27;236,79;240,61;228,64;210,79;205,29;202,66;202,89;364,07;366,37;CPV
Central African Republic;;398,01;401,63;401,45;423,49;399,29;404,33;408,05;405,4;402,84;;;387,68;384,22;362,17;356,76;362,55;351,78;378,92;392,89;423,55;417,02;418,75;CAF
Chad;;;;383,38;491,32;475,5;480,57;461,79;449,62;482,81;497,15;487,87;469,46;451,37;426,39;407,73;402,66;524,43;536,43;536,85;491,15;480,55;475,92;TCD
Chile;624,06;599,13;586,8;593,3;578,48;567,43;566,92;567,09;570,35;582,03;582,27;594,54;602,22;599,4;599,07;591,5;584,01;571,73;567,62;556,94;548,95;543,9;531,83;CHL
China;459,61;461,31;463,29;399,28;402,15;486,85;481,12;478,61;483,17;485,6;466,83;484,42;482,32;480,3;485,93;485,22;486,29;479,08;459,6;454,38;441,26;432,77;431,48;CHN
Colombia;501,33;503,98;510,6;525,56;502,31;509,35;531,51;502,29;516,01;530,33;539,53;545,13;552,95;565,37;555,41;540,52;549,92;536,53;540,37;542,84;528,94;532,29;539,47;COL
Congo, Democratic Republic of the ;;;;;;;199,84;343,42;278,26;383,11;322,64;360,31;350,2;394,35;394,84;402;388,03;427,81;391,88;368,28;384,09;388,26;387,5;COD
Congo, Republic of;;;;;;;;;;;;515,14;519,89;516,55;497,74;483,07;466,32;476,09;467,75;478,57;459,64;441,25;444,12;COG
Cote D'Ivoire;276,33;282,78;279,04;281,49;294,51;278,94;266,1;266,83;259,24;265,67;282,36;;;321,84;396,98;392,45;387,17;383,54;370,55;380,69;376,55;360,39;373,53;CIV
Croatia;;;761,77;802,42;813,11;811,13;804,78;819,72;771,52;756,75;729,99;699,93;694,56;631,4;612,48;610,53;606,18;579,13;552,01;553,15;547,71;548,15;549,18;HRV
Cyprus;788,3;796,39;820,95;771,47;764,65;739,94;771,84;783,89;770;737,32;734,57;745,17;709,6;691,03;683,81;685,91;679,63;666,08;652,61;657,92;660,78;665,1;666,67;CYP
Czech Republic;;;;;;556,44;547,95;550,96;551,27;555,89;563,76;551,28;537,34;539,7;512,23;481,21;458,58;437,21;410,8;407,77;409,44;400,18;403,49;CZE
Denmark;594,48;601,95;607,43;612,35;605,71;592,95;590,55;599,9;601,02;583,57;584,28;586,11;583,49;567,68;543,45;538,93;529,21;532,57;524,9;514,84;506,87;509,84;512,99;DNK
Djibouti;;653,52;661,37;665,87;647,69;647,75;635,31;630,25;622,45;614,52;612,07;610,6;623,87;631,71;596,32;597,7;595,12;557,26;543,43;545,47;539,71;532,46;;DJI
Dominican Republic;345,4;310,1;341,71;364,21;361,09;335,76;346,26;353,45;353,86;356,66;370,68;382,13;376,83;368,69;362,86;346,76;339,53;331,41;336,46;337,68;315,74;307,34;305,45;DOM
Ecuador;550,89;546,8;537,7;543,81;526,88;553,63;536,96;537,48;542,71;548,12;554,82;539,68;535,04;540,84;523,39;537,03;524,27;535,4;537,1;546,29;539,79;539,04;523;ECU
Egypt;669,14;715,27;723,66;702,33;678,79;655,74;644,44;638,13;634,12;631,34;626,09;637,43;645,29;665,47;665,66;659,4;648,8;640,31;621,74;607,24;594,12;583,31;578,44;EGY
El Salvador;552,16;545,73;520,74;497,11;478,78;462;453,14;443,2;432,66;433,39;418,62;423,3;425,01;455,07;443,23;440,12;439,07;436,33;438,75;439,55;437,21;439,9;431,58;SLV
Equatorial Guinea;;;;;569,59;493,1;464,28;423,85;429,9;;;;;;;;;447,81;446,33;500,56;494,21;474,92;472,64;GNQ
Eritrea;;;;634,15;603,07;770,97;774,73;750,3;932,71;992,85;1000;967,7;964,31;960,8;934,82;933,69;923,04;;;;;;;ERI
Estonia;;;;373,67;369,09;475,06;465,03;506,21;516,5;533,88;547,06;558,55;574,21;564,67;549,21;559,92;574,57;566,56;567,75;569,45;563,37;560,56;578,95;EST
Ethiopia;523,85;426,14;287,35;328,51;430,02;433,08;442,06;484,3;538,7;621,47;603,16;556,03;546,41;512,45;514,78;502,07;473,64;446,44;413,33;397,18;399,25;394,51;371,22;ETH
Fiji;413,96;414;399,24;398,77;393,38;395,59;389,84;381,11;400,03;395,73;425;435,71;420,37;403,48;399,2;386,99;400,98;417,1;380,4;398,81;387,26;376,26;372,52;FJI
Finland;599,07;617,03;629,93;652,46;643,38;624,44;626,88;638,1;635,54;628,01;635,87;633,4;629,51;620,58;621,78;601,02;594,83;580,95;580,99;590,76;583,4;578,33;584,26;FIN
France;598,83;600,15;592,8;597,03;592,66;580,51;578,74;583,17;573,94;578,38;585,29;583,28;537,2;523,78;519,28;509,77;508,27;511,29;510,47;518,94;498,77;491,68;494,33;FRA
Gabon;;;;;;;;;;;527,17;528,6;522,84;503,43;494,44;478,09;472,41;454,1;439,13;450,1;436,46;419,51;466,81;GAB
Gambia;98,07;99,13;91,15;158,72;159,04;154,66;175,06;171,79;167,07;158,16;165,93;157;169,71;157,95;144,66;162,85;190,29;209,31;186,19;186,66;181,49;;;GMB
Georgia;;;;;;;604,39;561,49;568,8;574,64;548,49;556,44;578,35;579,9;587,92;522,38;546,86;598,63;571,83;542,14;527,8;509,9;501,35;GEO
Germany;;583,34;571,27;544,82;524,01;513,23;510,07;514,89;504,53;509,38;517,16;513,54;511,01;494,17;493,37;493,55;466,95;459,84;457,55;461,9;438,05;412,13;407,51;DEU
Ghana;172,98;184,7;114,42;144,18;160,43;162,14;217,06;207,38;217,93;219,7;283,52;246,56;234,11;237,39;205,6;190,23;217,95;236,65;221,6;249,57;236,69;209,04;221,56;GHA
Greece;727,78;720,7;718,33;726,42;721,69;703,99;703,05;705,78;710,92;711,99;725,36;720,4;713,24;686,05;683,12;682,61;670,73;664,42;660,89;667,2;651,66;640,1;654,68;GRC
Guatemala;545,37;476,7;491,61;525,84;519,52;492,34;479,28;467,58;453,29;447,51;466,93;468,46;440,78;441,91;397,97;375,26;372,71;364,21;360,69;354,58;352,18;346,39;353,28;GTM
Guinea;;338,94;328,86;319,09;315,89;373,19;371,53;373,15;383,12;405,42;415,07;463,37;465,97;450,51;437,24;454,63;455,72;428,58;;;;;;GIN
Guinea-Bissau;388,51;390,79;401,53;;450,63;412,66;391,1;422,84;468,87;473,3;577,15;541,7;529,86;522,22;518,93;536,51;535,6;521,85;506,81;493,89;489,43;481,64;486,41;GNB
Guyana;367,85;366,42;393,3;402,05;376,72;351,53;338,61;342,45;345,67;351,9;384,44;395,71;400,57;398,64;397,18;430,76;430,46;432,38;423,58;425,32;421,37;421,63;379,4;GUY
Honduras;;;;;;;;;;;436,39;440,31;436,62;448;420,95;418,22;420,9;422,82;429,14;429,96;426,58;430,11;422,7;HND
Hungary;686,83;670,63;660,28;648,27;634,35;605,72;609,52;623,91;593,4;604,34;614,23;605,87;586,91;574,67;542,3;526,07;520,76;513,8;470,65;472,44;467,42;448,13;444,5;HUN
Iceland;;;;;;;;;;;;;;;;;;;;26,02;12,36;0;10,4;ISL
India;463,15;469,05;489,75;503,55;484,67;493,82;495,49;494,93;493,8;501,75;501,69;501,66;501,28;494,45;490,68;497,33;489,39;476,56;479,67;488,96;471,95;467,21;461,73;IND
Indonesia;381,77;385,38;388,77;383,74;433,94;428,22;427,06;433,79;474,03;424,62;415,97;421,25;441,01;447,47;452,95;433,56;417,87;408,65;396,69;394,2;386,13;384,55;410,69;IDN
Iran;575,47;571,79;467,83;603,69;659,83;628,78;620,06;628,98;626,83;645,2;674,26;670,78;650,18;650,28;664,81;649,17;655,11;627,31;596,66;590,95;583,24;571,7;564,5;IRN
Iraq;;;;;;;;;;;;;;;512,37;387,9;363,85;520,19;551,93;551,53;515,35;542,69;530,93;IRQ
Ireland;413,3;414,47;466,91;474,59;473,07;461,75;456,92;454,8;444,04;443,15;445,8;439,19;413,22;391,87;380,63;376,83;376,32;367,69;367,85;371,74;375,28;365,08;342,8;IRL
Israel;892,02;906,03;873,8;883,24;871,42;851,92;851,3;851,51;850,81;849,55;844,94;845,57;859,73;857,62;853,27;844,63;844,69;840,93;825,71;826,71;816,44;795,86;794,13;ISR
Italy;523,45;518,45;575,06;591,7;585,33;576,62;575,65;580,69;569,06;548,41;552,89;551,09;546,13;533,04;525,78;504,7;503,63;486,51;486,99;489,28;479,43;485,19;473,76;ITA
Jamaica;335,94;330,85;364,22;337,64;321,23;327,51;310,95;304,55;292,3;284,92;280,16;286,85;297,93;311,2;267,72;264,7;273,73;276,52;296,8;303,87;288,85;290,29;283,99;JAM
Japan;377,42;372,86;374,96;369,08;365,6;361,82;370,67;378,02;385,69;378,4;375,4;384,65;388,55;384,82;378,42;380,69;385,82;386,42;376,12;372,4;375,23;371,46;374,11;JPN
Jordan;702,19;799,29;772,98;776,27;767,12;738,59;756,2;754,68;753,67;754,06;753,67;741,74;734,37;741,24;730,47;724,17;720,38;741,72;734,63;728,13;717,61;702,78;694,45;JOR
Kazakhstan;;;;582,1;514,03;485,37;469,16;461,19;471,85;488,44;494,51;602,42;599,08;598,44;583,44;493,35;482,53;497,8;473,82;476,05;466,8;461,51;489,9;KAZ
Kenya;451,91;441,46;431,88;430,18;406,61;395,47;408,5;400,44;390,99;395,57;398,76;408,63;410,54;401,73;397,09;388,57;375,24;370,87;363,82;374,46;374,41;360,93;352,38;KEN
Korea, Republic of;718,68;711,73;714,97;712,73;704,26;694,95;693,95;702,32;725,84;705,79;701,7;704,71;698,46;692,47;687,83;682,15;681,33;678,52;690,48;696,71;680,8;677,88;678,79;KOR
